signal_type,mass_GeV,stage,raw_events,sum_weights,sum_weights_squared,effective_events,weighted_cross_section_pb,cumulative_efficiency,incremental_efficiency,sigma_total_error_pb
vector,0.1,Qe2+pt,219,0.921136130545,0.0543908125248,15.5999098305,0.444848009973,0.000207976902295,0.00342960445411,14.0614710066
vector,0.1,Qe2+pt+eta,128,0.622545981202,0.00764579395881,50.6897649609,0.300648657317,0.000140560315043,0.675845795816,14.0614710066
vector,0.1,all_Table_I_cuts,58,0.399701492697,0.00610861823084,26.1534241013,0.193029464064,9.024581225e-05,0.642043326543,14.0614710066
vector,0.316,inclusive,20000,4535.43782457,1898.07015835,10837.4267253,190.935214565,1,1,1.24141411512
vector,0.316,Qe2,8509,1604.59069324,621.500936247,4142.73115724,67.5508914803,0.353789591062,0.353789591062,1.24141411512
vector,0.316,Qe2+pt,417,11.4056457975,1.99700377525,65.1419680176,0.480160794136,0.00251478385079,0.007108134084,1.24141411512
vector,0.316,Qe2+pt+eta,139,8.85516376595,1.76376194774,44.4583382821,0.372789278358,0.00195243857561,0.776384250674,1.24141411512
vector,0.316,all_Table_I_cuts,66,6.74417465749,1.57246518251,28.9252139358,0.28391976367,0.00148699528433,0.761609252606,1.24141411512
vector,10,inclusive,20000,5434.50802976,2476.44134548,11925.9345994,0.0117966789475,1,1,6.86348489073e-05
vector,10,Qe2,10171,2547.36123771,1127.74047164,5754.0271353,0.00552955346096,0.468738149573,0.468738149573,6.86348489073e-05
vector,10,Qe2+pt,2422,502.624333762,200.191601133,1261.94715193,0.00109104593537,0.0924875501168,0.197311761803,6.86348489073e-05
vector,10,Qe2+pt+eta,2412,500.866718497,199.666219991,1256.4342116,0.00108723068238,0.0921641325682,0.996503123413,6.86348489073e-05
vector,10,all_Table_I_cuts,2185,492.794120338,198.202863619,1225.23984066,0.00106970750489,0.090678699459,0.983882741932,6.86348489073e-05
vector,1,inclusive,20000,4684.70336873,1957.59363441,11210.9302294,13.5077216508,1,1,0.0845702736757
vector,1,Qe2,8076,1633.02260317,629.914743115,4233.52977783,4.70860437404,0.348586126941,0.348586126941,0.0845702736757
vector,1,Qe2+pt,728,70.7366820953,16.7716404565,298.341608672,0.203959853386,0.015099500764,0.0433164133539,0.0845702736757
vector,1,Qe2+pt+eta,723,70.7366231572,16.7716404531,298.341111574,0.203959683446,0.0150994881831,0.999999166796,0.0845702736757
vector,1,all_Table_I_cuts,510,55.1028183888,13.9539547043,217.595703779,0.158881678174,0.011762285475,0.778985706829,0.0845702736757
vector,1.585,inclusive,20000,4801.5179114,2079.41758895,11087.0343581,4.34171726851,1,1,0.0275264344816
vector,1.585,Qe2,8348,1761.63389709,720.510362589,4307.16079671,1.59293716131,0.366891039374,0.366891039374,0.0275264344816
vector,1.585,Qe2+pt,907,161.826895246,61.0702990394,428.816371247,0.146330106138,0.0337032784699,0.0918618195947,0.0275264344816
vector,1.585,Qe2+pt+eta,905,161.813760395,61.0701483243,428.747821506,0.1463182291,0.0337005429076,0.999918833941,0.0275264344816
vector,1.585,all_Table_I_cuts,720,132.97616667,51.278285031,344.837213092,0.12024216712,0.027694610147,0.821785281706,0.0275264344816
vector,2.512,inclusive,20000,4873.53508123,2115.80210271,11225.6926853,1.29084725891,1,1,0.00806974302701
vector,2.512,Qe2,9056,1838.27140813,759.510326865,4449.23742369,0.486900692984,0.377194660035,0.377194660035,0.00806974302701
vector,2.512,Qe2+pt,1447,251.783775609,98.182906134,645.6833695,0.0666896597987,0.0516634786479,0.136967683061,0.00806974302701
vector,2.512,Qe2+pt+eta,1430,251.394534947,98.1355500251,643.99916427,0.0665865621021,0.0515836104095,0.998454067738,0.00806974302701
vector,2.512,all_Table_I_cuts,1196,223.434574487,90.3893714902,552.310611889,0.0591808416715,0.0458465099281,0.888780555765,0.00806974302701
vector,3.981,inclusive,20000,5216.80177616,2302.9056736,11817.688012,0.342432570643,1,1,0.00201479945889
