class,mass_GeV,pt_low_GeV,pt_high_GeV,log10_t_low,log10_t_high,weighted_probability_percent
Photon proxy,1,2.52222222222,2.7,-4.5,-4.375,0.0869775397032
Photon proxy,1,2.52222222222,2.7,-4.375,-4.25,0.112378122499
Photon proxy,1,2.52222222222,2.7,-4.25,-4.125,0.0944080602534
Photon proxy,1,2.52222222222,2.7,-4.125,-4,0.125546082039
Photon proxy,1,2.52222222222,2.7,-4,-3.875,0.138883532902
Photon proxy,1,2.52222222222,2.7,-3.875,-3.75,0.18128440582
Photon proxy,1,2.52222222222,2.7,-3.75,-3.625,0.197696764543
Photon proxy,1,2.52222222222,2.7,-3.625,-3.5,0.148475030115
Photon proxy,1,2.52222222222,2.7,-3.5,-3.375,0.204234450088
Photon proxy,1,2.52222222222,2.7,-3.375,-3.25,0.14074991039
Photon proxy,1,2.52222222222,2.7,-3.25,-3.125,0.193953704054
Photon proxy,1,2.52222222222,2.7,-3.125,-3,0.143555620906
Photon proxy,1,2.52222222222,2.7,-3,-2.875,0.197322507931
Photon proxy,1,2.52222222222,2.7,-2.875,-2.75,0.145814920848
Photon proxy,1,2.52222222222,2.7,-2.75,-2.625,0.132344309883
Photon proxy,1,2.52222222222,2.7,-2.625,-2.5,0.102724271124
Photon proxy,1,2.52222222222,2.7,-2.5,-2.375,0.10971958739
Photon proxy,1,2.52222222222,2.7,-2.375,-2.25,0.0819151821405
Photon proxy,1,2.52222222222,2.7,-2.25,-2.125,0.0507723673548
Photon proxy,1,2.52222222222,2.7,-2.125,-2,0.0267145424498
Photon proxy,1,2.52222222222,2.7,-2,-1.875,0.00762033311254
Photon proxy,1,2.52222222222,2.7,-1.875,-1.75,0.00190698343055
Photon proxy,1,2.52222222222,2.7,-1.75,-1.625,0.000182442211968
Photon proxy,1,2.52222222222,2.7,-1.625,-1.5,0.000777233939182
Photon proxy,1,2.7,2.87777777778,-6,-5.875,0
Photon proxy,1,2.7,2.87777777778,-5.875,-5.75,0
Photon proxy,1,2.7,2.87777777778,-5.75,-5.625,0
Photon proxy,1,2.7,2.87777777778,-5.625,-5.5,0
Photon proxy,1,2.7,2.87777777778,-5.5,-5.375,0
Photon proxy,1,2.7,2.87777777778,-5.375,-5.25,0
Photon proxy,1,2.7,2.87777777778,-5.25,-5.125,0
Photon proxy,1,2.7,2.87777777778,-5.125,-5,0
Photon proxy,1,2.7,2.87777777778,-5,-4.875,0
Photon proxy,1,2.7,2.87777777778,-4.875,-4.75,4.9742450716e-05
Photon proxy,1,2.7,2.87777777778,-4.75,-4.625,0.0106227702822
Photon proxy,1,2.7,2.87777777778,-4.625,-4.5,0.0305621062881
Photon proxy,1,2.7,2.87777777778,-4.5,-4.375,0.0597193938952
Photon proxy,1,2.7,2.87777777778,-4.375,-4.25,0.0740336307645
Photon proxy,1,2.7,2.87777777778,-4.25,-4.125,0.0802829574821
Photon proxy,1,2.7,2.87777777778,-4.125,-4,0.0979891617522
Photon proxy,1,2.7,2.87777777778,-4,-3.875,0.106338823628
Photon proxy,1,2.7,2.87777777778,-3.875,-3.75,0.135458216432
Photon proxy,1,2.7,2.87777777778,-3.75,-3.625,0.139818518419
Photon proxy,1,2.7,2.87777777778,-3.625,-3.5,0.176047489241
Photon proxy,1,2.7,2.87777777778,-3.5,-3.375,0.152952116933
Photon proxy,1,2.7,2.87777777778,-3.375,-3.25,0.158704738846
Photon proxy,1,2.7,2.87777777778,-3.25,-3.125,0.160959311378
Photon proxy,1,2.7,2.87777777778,-3.125,-3,0.150654203686
Photon proxy,1,2.7,2.87777777778,-3,-2.875,0.131168248462
Photon proxy,1,2.7,2.87777777778,-2.875,-2.75,0.104535906156
Photon proxy,1,2.7,2.87777777778,-2.75,-2.625,0.107207149428
Photon proxy,1,2.7,2.87777777778,-2.625,-2.5,0.0816250130512
Photon proxy,1,2.7,2.87777777778,-2.5,-2.375,0.0752542717367
Photon proxy,1,2.7,2.87777777778,-2.375,-2.25,0.0526267983146
Photon proxy,1,2.7,2.87777777778,-2.25,-2.125,0.0288969475125
Photon proxy,1,2.7,2.87777777778,-2.125,-2,0.021850256747
Photon proxy,1,2.7,2.87777777778,-2,-1.875,0.00678687939006
Photon proxy,1,2.7,2.87777777778,-1.875,-1.75,0.00186342909976
Photon proxy,1,2.7,2.87777777778,-1.75,-1.625,2.8037634235e-05
Photon proxy,1,2.7,2.87777777778,-1.625,-1.5,0.00065099391389
Photon proxy,1,2.87777777778,3.05555555556,-6,-5.875,0
Photon proxy,1,2.87777777778,3.05555555556,-5.875,-5.75,0
Photon proxy,1,2.87777777778,3.05555555556,-5.75,-5.625,0
Photon proxy,1,2.87777777778,3.05555555556,-5.625,-5.5,0
Photon proxy,1,2.87777777778,3.05555555556,-5.5,-5.375,0
